number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_batch_size,params_dropout,params_lr,params_weight_decay,state
28,0.2796528447444552,2025-07-12 10:02:08.498500,2025-07-12 10:02:24.061388,0 days 00:00:15.562888,4,32,64,0.13108368857678152,2.7265738157685618e-05,0.000492885487900666,PRUNED
29,0.39537126325940214,2025-07-12 10:02:24.078805,2025-07-12 10:02:27.529776,0 days 00:00:03.450971,8,8,16,0.2555872325002983,0.0027227928991939215,0.00689900722528966,PRUNED
30,0.39922854387656703,2025-07-12 10:02:27.548110,2025-07-12 10:02:42.445763,0 days 00:00:14.897653,2,32,64,0.14180965200900186,0.0074744192476772185,0.0011484414191253085,PRUNED
31,0.4214079074252652,2025-07-12 10:02:42.464646,2025-07-12 10:03:00.390260,0 days 00:00:17.925614,8,32,64,0.2471623990110282,0.0004289906476148108,0.0020207296179401476,PRUNED
32,0.3866923818707811,2025-07-12 10:03:00.406168,2025-07-12 10:03:18.875102,0 days 00:00:18.468934,8,32,64,0.2766338826513054,0.0007881890346034423,0.0043543787625282835,PRUNED
33,0.3789778206364513,2025-07-12 10:03:18.896799,2025-07-12 10:03:36.988774,0 days 00:00:18.091975,8,32,64,0.20177575370042156,0.00035822253185824386,0.0023411004066603335,PRUNED
34,0.3770491803278688,2025-07-12 10:03:37.008090,2025-07-12 10:03:53.227171,0 days 00:00:16.219081,4,32,64,0.23782800788280284,0.00016244520965133315,0.0012112223049554499,PRUNED
35,0.40501446480231434,2025-07-12 10:03:53.247704,2025-07-12 10:04:11.972916,0 days 00:00:18.725212,8,32,16,0.16732792879709982,8.340041369090591e-05,0.005466456987549992,PRUNED
36,0.26808100289296044,2025-07-12 10:04:11.989858,2025-07-12 10:04:15.055046,0 days 00:00:03.065188,2,8,64,0.2845636803104763,4.258613371809214e-05,0.00019141245780493135,PRUNED
37,0.4117647058823529,2025-07-12 10:04:15.071467,2025-07-12 10:04:30.835334,0 days 00:00:15.763867,8,32,16,0.3274846715452323,0.0008003202727547782,1.6780228853717864e-06,PRUNED
38,0.5641272902603665,2025-07-12 10:04:30.852360,2025-07-12 10:06:50.840300,0 days 00:02:19.987940,4,16,32,0.19853190247638328,0.0017242515527320364,6.964618573229162e-05,PRUNED
39,0.3944069431051109,2025-07-12 10:06:50.859357,2025-07-12 10:07:00.137641,0 days 00:00:09.278284,8,16,32,0.47930129256554876,0.000531523753163944,0.0003250991541107258,PRUNED
40,0.37319189971070393,2025-07-12 10:07:00.155295,2025-07-12 10:07:14.830892,0 days 00:00:14.675597,2,32,64,0.30255671169932397,0.0002606841584692921,0.0007992596877272515,PRUNED
