Model,Subject,Mean_Accuracy,Std_Accuracy,N_Valid_Runs,Individual_Scores
EEGMamba,1,0.704861111111111,0.01598731171280741,5,"[0.71875, 0.71875, 0.7152777777777778, 0.6909722222222222, 0.6805555555555556]"
EEGMamba,2,0.34652777777777777,0.022330465542796562,5,"[0.375, 0.3368055555555556, 0.3541666666666667, 0.3090277777777778, 0.3576388888888889]"
EEGMamba,3,0.7180555555555556,0.02110928354662592,5,"[0.7326388888888888, 0.7395833333333334, 0.6979166666666666, 0.6875, 0.7326388888888888]"
EEGMamba,4,0.4666666666666667,0.00894729078244801,5,"[0.4618055555555556, 0.4583333333333333, 0.4756944444444444, 0.4791666666666667, 0.4583333333333333]"
EEGMamba,5,0.3277777777777778,0.01607755125387531,5,"[0.3159722222222222, 0.3159722222222222, 0.34375, 0.3506944444444444, 0.3125]"
EEGMamba,6,0.39444444444444443,0.01592686797386073,5,"[0.3819444444444444, 0.3819444444444444, 0.40625, 0.3819444444444444, 0.4201388888888889]"
EEGMamba,7,0.5854166666666667,0.006054026310473169,5,"[0.5833333333333334, 0.5763888888888888, 0.59375, 0.5833333333333334, 0.5902777777777778]"
EEGMamba,8,0.6215277777777778,0.01473139127471975,5,"[0.6493055555555556, 0.6076388888888888, 0.6215277777777778, 0.6180555555555556, 0.6111111111111112]"
EEGMamba,9,0.576388888888889,0.030744366140525906,5,"[0.6076388888888888, 0.5868055555555556, 0.5416666666666666, 0.6076388888888888, 0.5381944444444444]"
