subject_id,model_name,attack,norm,eps_z,smooth,adv_acc_worst,asr_worst,spearman_ig_worst,roi_share_clean_ig_worst,roi_share_adv_ig_worst
1,CTNet,DeepFool_L2,L2,,,0.0798611119389534,0.9201388880610466,0.8986977696216827,0.1264728531210077,0.1238289066992533
1,CTNet,FGSM,Linf,0.0363886628571174,0.0,0.0138888889923691,0.9861111110076308,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM,Linf,0.0727773257142349,0.0,0.0,1.0,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM,Linf,0.1455546514284699,0.0,0.0,1.0,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM,Linf,0.2911093028569398,0.0,0.0,1.0,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM_LP,Linf,0.0363886628571174,1.0,0.5069444179534912,0.4930555820465088,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,FGSM_LP,Linf,0.0727773257142349,1.0,0.2395833283662796,0.7604166716337204,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,FGSM_LP,Linf,0.1455546514284699,1.0,0.0,1.0,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,FGSM_LP,Linf,0.2911093028569398,1.0,0.0,1.0,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,PGD,Linf,0.0363886628571174,0.0,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD,Linf,0.0727773257142349,0.0,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD,Linf,0.1455546514284699,0.0,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD,Linf,0.2911093028569398,0.0,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD_LP,Linf,0.0363886628571174,1.0,0.5520833134651184,0.4479166865348816,0.997644339356296,0.1264728531210077,0.1262984266056273
1,CTNet,PGD_LP,Linf,0.0727773257142349,1.0,0.3680555522441864,0.6319444477558136,0.997644339356296,0.1264728531210077,0.1262984266056273
1,CTNet,PGD_LP,Linf,0.1455546514284699,1.0,0.020833333954215,0.979166666045785,0.997644339356296,0.1264728531210077,0.1262984266056273
1,CTNet,PGD_LP,Linf,0.2911093028569398,1.0,0.0,1.0,0.997644339356296,0.1264728531210077,0.1262984266056273
1,DeepConvNet,DeepFool_L2,L2,,,0.0902777761220932,0.9097222238779068,0.9682647515527952,0.1554775763868554,0.1549294521507897
1,DeepConvNet,FGSM,Linf,0.0363886628571174,0.0,0.15625,0.84375,0.9499400056465276,0.1554775763868554,0.1526285675808921
1,DeepConvNet,FGSM,Linf,0.0727773257142349,0.0,0.0798611119389534,0.9201388880610466,0.9499400056465276,0.1554775763868554,0.1526285675808921
1,DeepConvNet,FGSM,Linf,0.1455546514284699,0.0,0.0347222238779068,0.9652777761220932,0.9499400056465276,0.1554775763868554,0.1526285675808921
1,DeepConvNet,FGSM,Linf,0.2911093028569398,0.0,0.0069444444961845,0.9930555555038154,0.9499400056465276,0.1554775763868554,0.1526285675808921
1,DeepConvNet,FGSM_LP,Linf,0.0363886628571174,1.0,0.5451388955116272,0.4548611044883728,0.9983942687747036,0.1554775763868554,0.1554441732514648
1,DeepConvNet,FGSM_LP,Linf,0.0727773257142349,1.0,0.4895833432674408,0.5104166567325592,0.9983942687747036,0.1554775763868554,0.1554441732514648
1,DeepConvNet,FGSM_LP,Linf,0.1455546514284699,1.0,0.3229166567325592,0.6770833432674408,0.9983942687747036,0.1554775763868554,0.1554441732514648
1,DeepConvNet,FGSM_LP,Linf,0.2911093028569398,1.0,0.0486111119389534,0.9513888880610466,0.9983942687747036,0.1554775763868554,0.1554441732514648
1,DeepConvNet,PGD,Linf,0.0363886628571174,0.0,0.0833333358168602,0.9166666641831398,0.9479813664596276,0.1554775763868554,0.1525976102223463
1,DeepConvNet,PGD,Linf,0.0727773257142349,0.0,0.0,1.0,0.9479813664596276,0.1554775763868554,0.1525976102223463
1,DeepConvNet,PGD,Linf,0.1455546514284699,0.0,0.0,1.0,0.9479813664596276,0.1554775763868554,0.1525976102223463
1,DeepConvNet,PGD,Linf,0.2911093028569398,0.0,0.0,1.0,0.9479813664596276,0.1554775763868554,0.1525976102223463
1,DeepConvNet,PGD_LP,Linf,0.0363886628571174,1.0,0.5520833134651184,0.4479166865348816,0.998429559570864,0.1554775763868554,0.1554262918304096
1,DeepConvNet,PGD_LP,Linf,0.0727773257142349,1.0,0.5138888955116272,0.4861111044883728,0.998429559570864,0.1554775763868554,0.1554262918304096
1,DeepConvNet,PGD_LP,Linf,0.1455546514284699,1.0,0.3819444477558136,0.6180555522441864,0.998429559570864,0.1554775763868554,0.1554262918304096
1,DeepConvNet,PGD_LP,Linf,0.2911093028569398,1.0,0.09375,0.90625,0.998429559570864,0.1554775763868554,0.1554262918304096
1,EEGNet,DeepFool_L2,L2,,,0.0763888880610466,0.9236111119389534,0.9106084133258048,0.0909837083301308,0.0959570467351132
