subject_id,model_name,attack,norm,eps_z,smooth,adv_acc_mean,adv_acc_std,adv_acc_n,adv_acc_ci95_lo,adv_acc_ci95_hi,asr_mean,asr_std,asr_n,asr_ci95_lo,asr_ci95_hi,spearman_ig_mean,spearman_ig_std,spearman_ig_n,spearman_ig_ci95_lo,spearman_ig_ci95_hi,roi_share_clean_ig_mean,roi_share_clean_ig_std,roi_share_clean_ig_n,roi_share_clean_ig_ci95_lo,roi_share_clean_ig_ci95_hi,roi_share_adv_ig_mean,roi_share_adv_ig_std,roi_share_adv_ig_n,roi_share_adv_ig_ci95_lo,roi_share_adv_ig_ci95_hi,adv_acc_worst,asr_worst,spearman_ig_worst,roi_share_clean_ig_worst,roi_share_adv_ig_worst
1,CTNet,DeepFool_L2,L2,,,0.09722222238779069,0.023804359723047352,5,0.06766520591939101,0.12677923885619036,0.9027777776122093,0.02380435972304735,5,0.8732207611438096,0.932334794080609,0.9372406126482214,0.02801367597108535,5,0.9024570397375788,0.972024185558864,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13770485075596942,0.012864819468494975,5,0.12173106757854829,0.15367863393339054,0.0798611119389534,0.9201388880610466,0.8986977696216827,0.1264728531210077,0.1238289066992533
1,CTNet,FGSM,Linf,0.0363886628571174,0.0,0.11527777668088672,0.11875304448369822,5,-0.03217360333161175,0.2627291566933852,0.8847222233191132,0.11875304448369821,5,0.7372708433066147,1.0321736033316116,0.9040266798418974,0.040521269296519745,5,0.8537128785948892,0.9543404810889057,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.1378587361912221,0.014212811390333405,5,0.1202111999745847,0.15550627240785952,0.0138888889923691,0.9861111110076308,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM,Linf,0.0727773257142349,0.0,0.03680555522441864,0.050532465404171986,5,-0.025938787808419045,0.09954989825725633,0.9631944447755814,0.050532465404171986,5,0.9004501017427436,1.025938787808419,0.9040266798418974,0.040521269296519745,5,0.8537128785948892,0.9543404810889057,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.1378587361912221,0.014212811390333405,5,0.1202111999745847,0.15550627240785952,0.0,1.0,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM,Linf,0.1455546514284699,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,5,1.0,1.0,0.9040266798418974,0.040521269296519745,5,0.8537128785948892,0.9543404810889057,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.1378587361912221,0.014212811390333405,5,0.1202111999745847,0.15550627240785952,0.0,1.0,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM,Linf,0.2911093028569398,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,5,1.0,1.0,0.9040266798418974,0.040521269296519745,5,0.8537128785948892,0.9543404810889057,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.1378587361912221,0.014212811390333405,5,0.1202111999745847,0.15550627240785952,0.0,1.0,0.8497494353472616,0.1264728531210077,0.1218838552083109
1,CTNet,FGSM_LP,Linf,0.0363886628571174,1.0,0.5590277791023255,0.03419743317757696,5,0.5165660574947492,0.6014895007099018,0.44097222089767457,0.034197433177576966,5,0.39851049929009824,0.4834339425052509,0.998134881422925,0.0004493777471244108,5,0.9975769052527267,0.9986928575931232,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13826193052853925,0.011281845912873926,5,0.12425366862524138,0.1522701924318371,0.5069444179534912,0.4930555820465088,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,FGSM_LP,Linf,0.0727773257142349,1.0,0.3409722238779068,0.0646523701033436,5,0.2606957035220395,0.4212487442337741,0.6590277761220932,0.0646523701033436,5,0.5787512557662259,0.7393042964779605,0.998134881422925,0.0004493777471244108,5,0.9975769052527267,0.9986928575931232,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13826193052853925,0.011281845912873926,5,0.12425366862524138,0.1522701924318371,0.2395833283662796,0.7604166716337204,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,FGSM_LP,Linf,0.1455546514284699,1.0,0.029166667163372018,0.021063543149193217,5,0.0030128239604072134,0.055320510366336825,0.970833332836628,0.02106354314919323,5,0.9446794896336632,0.9969871760395927,0.998134881422925,0.0004493777471244108,5,0.9975769052527267,0.9986928575931232,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13826193052853925,0.011281845912873926,5,0.12425366862524138,0.1522701924318371,0.0,1.0,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,FGSM_LP,Linf,0.2911093028569398,1.0,0.0,0.0,5,0.0,0.0,1.0,0.0,5,1.0,1.0,0.998134881422925,0.0004493777471244108,5,0.9975769052527267,0.9986928575931232,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13826193052853925,0.011281845912873926,5,0.12425366862524138,0.1522701924318371,0.0,1.0,0.9975914031620554,0.1264728531210077,0.1262521973043942
1,CTNet,PGD,Linf,0.0363886628571174,0.0,0.09791666716337204,0.1265671440514387,5,-0.05923719896076941,0.2550705332875135,0.902083332836628,0.1265671440514387,5,0.7449294667124866,1.0592371989607694,0.9023309570863921,0.04167319794942417,5,0.8505868475025731,0.9540750666702111,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13785844865122515,0.013850132976998025,5,0.12066123716335195,0.15505566013909836,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD,Linf,0.0727773257142349,0.0,0.0027777778450399403,0.004527224024447395,5,-0.002843513237919559,0.00839906892799944,0.99722222215496,0.00452722402444746,5,0.9916009310720004,1.0028435132379196,0.9023309570863921,0.04167319794942417,5,0.8505868475025731,0.9540750666702111,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13785844865122515,0.013850132976998025,5,0.12066123716335195,0.15505566013909836,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD,Linf,0.1455546514284699,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,5,1.0,1.0,0.9023309570863921,0.04167319794942417,5,0.8505868475025731,0.9540750666702111,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13785844865122515,0.013850132976998025,5,0.12066123716335195,0.15505566013909836,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD,Linf,0.2911093028569398,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,5,1.0,1.0,0.9023309570863921,0.04167319794942417,5,0.8505868475025731,0.9540750666702111,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13785844865122515,0.013850132976998025,5,0.12066123716335195,0.15505566013909836,0.0,1.0,0.8495112224731791,0.1264728531210077,0.1225639690407469
1,CTNet,PGD_LP,Linf,0.0363886628571174,1.0,0.5916666507720947,0.029009169601150478,5,0.555647009260559,0.6276862922836304,0.40833334922790526,0.029009169601150478,5,0.3723137077163696,0.4443529907394409,0.9980554771315642,0.00043296895523483095,5,0.9975178751675092,0.9985930790956191,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13827187968204172,0.011253865396344893,5,0.12429836017876911,0.15224539918531432,0.5520833134651184,0.4479166865348816,0.997644339356296,0.1264728531210077,0.1262984266056273
1,CTNet,PGD_LP,Linf,0.0727773257142349,1.0,0.4326388895511627,0.04531217029046845,5,0.3763763990210097,0.4889013800813157,0.5673611104488373,0.04531217029046845,5,0.5110986199186843,0.6236236009789903,0.9980554771315642,0.00043296895523483095,5,0.9975178751675092,0.9985930790956191,0.13824231988129804,0.011135583467876378,5,0.1244156667902429,0.1520689729723532,0.13827187968204172,0.011253865396344893,5,0.12429836017876911,0.15224539918531432,0.3680555522441864,0.6319444477558136,0.997644339356296,0.1264728531210077,0.1262984266056273
