attack,smooth,smooth_type,smooth_sigma_t,norm,muV_budget,eps_z,eps_uV_per_channel,steps,alpha,random_start,seed,clean_acc,adv_acc,ASR,median_L2_success,mean_L2_all,mean_Linf_delta,snr_db_mean,snr_db_std,clean_acc_per_class,adv_acc_per_class,frac_at_boundary,restarts,targeted,spearman_IG,roi_share_clean_IG,roi_share_adv_IG,roi_delta_share_IG,roi_spearman_IG,laterality_clean_IG,laterality_adv_IG,laterality_delta_IG,top5_clean_IG,top5_adv_IG,top5_roi_share_clean_IG,top5_roi_share_adv_IG,top5_roi_share_delta_IG,subject_id,model_name
FGSM,False,,,Linf,0.25,0.02342281921771265,"[0.24871696531772614, 0.22645851969718933, 0.24924810230731964, 0.26279327273368835, 0.2566395401954651, 0.2504960298538208, 0.1744140088558197, 0.2088831216096878, 0.23810744285583496, 0.2622508704662323, 0.25287508964538574, 0.249503955245018, 0.23829449713230133, 0.22093139588832855, 0.2340979278087616, 0.25446581840515137, 0.2568988800048828, 0.2687363028526306, 0.23729097843170166, 0.2564050853252411, 0.25836241245269775, 0.26236599683761597]",,,False,42,0.7395833134651184,0.013888888992369175,0.9861111110076308,113.65640258789062,114.33087921142578,3.767502784729004,2.4136545658111572,0.10254070162773132,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.041666666666666664, 0.0, 0.013888888888888888, 0.0]",0.0,1,False,0.941981931112366,,,,,-0.046287746330900034,-0.0023500874982333255,0.04393765883266671,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
FGSM,False,,,Linf,0.5,0.0468456384354253,"[0.49743393063545227, 0.45291703939437866, 0.4984962046146393, 0.5255865454673767, 0.5132790803909302, 0.5009920597076416, 0.3488280177116394, 0.4177662432193756, 0.4762148857116699, 0.5245017409324646, 0.5057501792907715, 0.499007910490036, 0.47658899426460266, 0.4418627917766571, 0.4681958556175232, 0.5089316368103027, 0.5137977600097656, 0.5374726057052612, 0.4745819568634033, 0.5128101706504822, 0.5167248249053955, 0.5247319936752319]",,,False,42,0.7395833134651184,0.0,1.0,113.71778869628906,114.39501953125,3.767502784729004,2.4087095260620117,0.10179893672466278,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.941981931112366,,,,,-0.046287746330900034,-0.0023500874982333255,0.04393765883266671,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
FGSM,False,,,Linf,1.0,0.0936912768708506,"[0.9948678612709045, 0.9058340787887573, 0.9969924092292786, 1.0511730909347534, 1.0265581607818604, 1.0019841194152832, 0.6976560354232788, 0.8355324864387512, 0.9524297714233398, 1.0490034818649292, 1.011500358581543, 0.998015820980072, 0.9531779885292053, 0.8837255835533142, 0.9363917112350464, 1.0178632736206055, 1.0275955200195312, 1.0749452114105225, 0.9491639137268066, 1.0256203413009644, 1.033449649810791, 1.0494639873504639]",,,False,42,0.7395833134651184,0.0,1.0,113.96296691894531,114.65082550048828,3.767502784729004,2.3890135288238525,0.09889931976795197,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.941981931112366,,,,,-0.046287746330900034,-0.0023500874982333255,0.04393765883266671,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
FGSM,False,,,Linf,2.0,0.1873825537417012,"[1.989735722541809, 1.8116681575775146, 1.9939848184585571, 2.102346181869507, 2.0531163215637207, 2.0039682388305664, 1.3953120708465576, 1.6710649728775024, 1.9048595428466797, 2.0980069637298584, 2.023000717163086, 1.996031641960144, 1.9063559770584106, 1.7674511671066284, 1.8727834224700928, 2.035726547241211, 2.0551910400390625, 2.149890422821045, 1.8983278274536133, 2.0512406826019287, 2.066899299621582, 2.0989279747009277]",,,False,42,0.7395833134651184,0.0,1.0,114.93494415283203,115.66140747070312,3.767502784729004,2.3116655349731445,0.08835195749998093,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.941981931112366,,,,,-0.046287746330900034,-0.0023500874982333255,0.04393765883266671,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
PGD,False,,,Linf,0.25,0.02342281921771265,"[0.24871696531772614, 0.22645851969718933, 0.24924810230731964, 0.26279327273368835, 0.2566395401954651, 0.2504960298538208, 0.1744140088558197, 0.2088831216096878, 0.23810744285583496, 0.2622508704662323, 0.25287508964538574, 0.249503955245018, 0.23829449713230133, 0.22093139588832855, 0.2340979278087616, 0.25446581840515137, 0.2568988800048828, 0.2687363028526306, 0.23729097843170166, 0.2564050853252411, 0.25836241245269775, 0.26236599683761597]",40.0,0.0029278524022140814,True,42,0.7395833134651184,0.0,1.0,113.65637969970703,114.33086395263672,3.767502784729004,2.4136555194854736,0.10254112631082535,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9396968520609826,,,,,-0.046287746330900034,0.004723567887833321,0.05101131421873335,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
PGD,False,,,Linf,0.5,0.0468456384354253,"[0.49743393063545227, 0.45291703939437866, 0.4984962046146393, 0.5255865454673767, 0.5132790803909302, 0.5009920597076416, 0.3488280177116394, 0.4177662432193756, 0.4762148857116699, 0.5245017409324646, 0.5057501792907715, 0.499007910490036, 0.47658899426460266, 0.4418627917766571, 0.4681958556175232, 0.5089316368103027, 0.5137977600097656, 0.5374726057052612, 0.4745819568634033, 0.5128101706504822, 0.5167248249053955, 0.5247319936752319]",40.0,0.005855704804428163,True,42,0.7395833134651184,0.0,1.0,113.71757507324219,114.39488220214844,3.767502784729004,2.408719778060913,0.10180232673883438,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9396968520609826,,,,,-0.046287746330900034,0.004723567887833321,0.05101131421873335,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
PGD,False,,,Linf,1.0,0.0936912768708506,"[0.9948678612709045, 0.9058340787887573, 0.9969924092292786, 1.0511730909347534, 1.0265581607818604, 1.0019841194152832, 0.6976560354232788, 0.8355324864387512, 0.9524297714233398, 1.0490034818649292, 1.011500358581543, 0.998015820980072, 0.9531779885292053, 0.8837255835533142, 0.9363917112350464, 1.0178632736206055, 1.0275955200195312, 1.0749452114105225, 0.9491639137268066, 1.0256203413009644, 1.033449649810791, 1.0494639873504639]",40.0,0.011711409608856325,True,42,0.7395833134651184,0.0,1.0,113.96115112304688,114.64976501464844,3.767502784729004,2.389094829559326,0.09891926497220993,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9396968520609826,,,,,-0.046287746330900034,0.004723567887833321,0.05101131421873335,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
PGD,False,,,Linf,2.0,0.1873825537417012,"[1.989735722541809, 1.8116681575775146, 1.9939848184585571, 2.102346181869507, 2.0531163215637207, 2.0039682388305664, 1.3953120708465576, 1.6710649728775024, 1.9048595428466797, 2.0980069637298584, 2.023000717163086, 1.996031641960144, 1.9063559770584106, 1.7674511671066284, 1.8727834224700928, 2.035726547241211, 2.0551910400390625, 2.149890422821045, 1.8983278274536133, 2.0512406826019287, 2.066899299621582, 2.0989279747009277]",40.0,0.02342281921771265,True,42,0.7395833134651184,0.0,1.0,114.92892456054688,115.65438079833984,3.767502784729004,2.3122024536132812,0.08842536807060242,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.9396968520609826,,,,,-0.046287746330900034,0.004723567887833321,0.05101131421873335,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'FC4']",,,,8,EEGNet
FGSM_LP,True,gaussian,3.0,Linf,0.25,0.02342281921771265,"[0.24871696531772614, 0.22645851969718933, 0.24924810230731964, 0.26279327273368835, 0.2566395401954651, 0.2504960298538208, 0.1744140088558197, 0.2088831216096878, 0.23810744285583496, 0.2622508704662323, 0.25287508964538574, 0.249503955245018, 0.23829449713230133, 0.22093139588832855, 0.2340979278087616, 0.25446581840515137, 0.2568988800048828, 0.2687363028526306, 0.23729097843170166, 0.2564050853252411, 0.25836241245269775, 0.26236599683761597]",,,False,42,0.7395833134651184,0.6597222089767456,0.3402777910232544,3.609015703201294,3.6090054512023926,0.023422837257385254,32.40321350097656,0.5743992328643799,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.5416666666666666, 0.625, 0.7083333333333334, 0.7638888888888888]",0.0,1,False,0.9985354319593449,,,,,-0.046287746330900034,-0.04682564118985824,-0.0005378948589582072,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'C6']",,,,8,EEGNet
FGSM_LP,True,gaussian,3.0,Linf,0.5,0.0468456384354253,"[0.49743393063545227, 0.45291703939437866, 0.4984962046146393, 0.5255865454673767, 0.5132790803909302, 0.5009920597076416, 0.3488280177116394, 0.4177662432193756, 0.4762148857116699, 0.5245017409324646, 0.5057501792907715, 0.499007910490036, 0.47658899426460266, 0.4418627917766571, 0.4681958556175232, 0.5089316368103027, 0.5137977600097656, 0.5374726057052612, 0.4745819568634033, 0.5128101706504822, 0.5167248249053955, 0.5247319936752319]",,,False,42,0.7395833134651184,0.46875,0.53125,7.091697692871094,7.093786716461182,0.04684567451477051,26.53343963623047,0.5663568377494812,"[0.6527777777777778, 0.7083333333333334, 0.7361111111111112, 0.8611111111111112]","[0.3611111111111111, 0.4027777777777778, 0.5416666666666666, 0.5694444444444444]",0.0,1,False,0.9985354319593449,,,,,-0.046287746330900034,-0.04682564118985824,-0.0005378948589582072,"['CPz', 'POz', 'CP4', 'Pz', 'C6']","['CPz', 'POz', 'CP4', 'Pz', 'C6']",,,,8,EEGNet
