attack,smooth,smooth_type,smooth_sigma_t,norm,muV_budget,eps_z,eps_uV_per_channel,steps,alpha,random_start,seed,clean_acc,adv_acc,ASR,median_L2_success,mean_L2_all,mean_Linf_delta,snr_db_mean,snr_db_std,clean_acc_per_class,adv_acc_per_class,frac_at_boundary,restarts,targeted,spearman_IG,roi_share_clean_IG,roi_share_adv_IG,roi_delta_share_IG,roi_spearman_IG,laterality_clean_IG,laterality_adv_IG,laterality_delta_IG,top5_clean_IG,top5_adv_IG,top5_roi_share_clean_IG,top5_roi_share_adv_IG,top5_roi_share_delta_IG,subject_id,model_name
FGSM,False,,,Linf,0.25,0.2588605321167153,"[0.24786479771137238, 0.24988776445388794, 0.2500208020210266, 0.2497808337211609, 0.25006356835365295, 0.25000879168510437, 0.2511407136917114, 0.24999120831489563, 0.2490978240966797, 0.2487034946680069, 0.24911917746067047, 0.24981918931007385, 0.25173115730285645, 0.2506592571735382, 0.24902622401714325, 0.24824020266532898, 0.24894151091575623, 0.25073036551475525, 0.2510240375995636, 0.25057822465896606, 0.2515020966529846, 0.2520568072795868]",,,False,42,0.6631944179534912,0.0,1.0,119.13296508789062,118.96044921875,3.7802646160125732,2.235348701477051,0.08481569588184357,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.7569522868435913,,,,,-0.05527295636318578,-0.029824604953293678,0.0254483514098921,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['Cz', 'POz', 'CPz', 'CP4', 'P1']",,,,1,EEGNet
FGSM,False,,,Linf,0.5,0.5177210642334306,"[0.49572959542274475, 0.4997755289077759, 0.5000416040420532, 0.4995616674423218, 0.5001271367073059, 0.5000175833702087, 0.5022814273834229, 0.49998241662979126, 0.4981956481933594, 0.4974069893360138, 0.49823835492134094, 0.4996383786201477, 0.5034623146057129, 0.5013185143470764, 0.4980524480342865, 0.49648040533065796, 0.49788302183151245, 0.5014607310295105, 0.5020480751991272, 0.5011564493179321, 0.5030041933059692, 0.5041136145591736]",,,False,42,0.6631944179534912,0.0,1.0,125.98947143554688,125.68448638916016,3.7802646160125732,1.752457618713379,0.07637961208820343,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.7569522868435913,,,,,-0.05527295636318578,-0.029824604953293678,0.0254483514098921,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['Cz', 'POz', 'CPz', 'CP4', 'P1']",,,,1,EEGNet
FGSM,False,,,Linf,1.0,1.0354421284668611,"[0.9914591908454895, 0.9995510578155518, 1.0000832080841064, 0.9991233348846436, 1.0002542734146118, 1.0000351667404175, 1.0045628547668457, 0.9999648332595825, 0.9963912963867188, 0.9948139786720276, 0.9964767098426819, 0.9992767572402954, 1.0069246292114258, 1.0026370286941528, 0.996104896068573, 0.9929608106613159, 0.9957660436630249, 1.002921462059021, 1.0040961503982544, 1.0023128986358643, 1.0060083866119385, 1.0082272291183472]",,,False,42,0.6631944179534912,0.0,1.0,146.16436767578125,145.7848663330078,3.7802646160125732,0.45556461811065674,0.20189425349235535,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.7569522868435913,,,,,-0.05527295636318578,-0.029824604953293678,0.0254483514098921,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['Cz', 'POz', 'CPz', 'CP4', 'P1']",,,,1,EEGNet
FGSM,False,,,Linf,2.0,2.0708842569337222,"[1.982918381690979, 1.9991021156311035, 2.000166416168213, 1.998246669769287, 2.0005085468292236, 2.000070333480835, 2.0091257095336914, 1.999929666519165, 1.9927825927734375, 1.9896279573440552, 1.9929534196853638, 1.9985535144805908, 2.0138492584228516, 2.0052740573883057, 1.992209792137146, 1.9859216213226318, 1.9915320873260498, 2.005842924118042, 2.008192300796509, 2.0046257972717285, 2.012016773223877, 2.0164544582366943]",,,False,42,0.6631944179534912,0.0,1.0,178.79698181152344,178.527099609375,3.7802646160125732,-1.3069634437561035,0.2650482654571533,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.7569522868435913,,,,,-0.05527295636318578,-0.029824604953293678,0.0254483514098921,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['Cz', 'POz', 'CPz', 'CP4', 'P1']",,,,1,EEGNet
PGD,False,,,Linf,0.25,0.2588605321167153,"[0.24786479771137238, 0.24988776445388794, 0.2500208020210266, 0.2497808337211609, 0.25006356835365295, 0.25000879168510437, 0.2511407136917114, 0.24999120831489563, 0.2490978240966797, 0.2487034946680069, 0.24911917746067047, 0.24981918931007385, 0.25173115730285645, 0.2506592571735382, 0.24902622401714325, 0.24824020266532898, 0.24894151091575623, 0.25073036551475525, 0.2510240375995636, 0.25057822465896606, 0.2515020966529846, 0.2520568072795868]",40.0,0.03235756651458941,True,42,0.6631944179534912,0.0,1.0,119.08135223388672,118.91484832763672,3.7802646160125732,2.238701343536377,0.08494174480438232,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.743832933370977,,,,,-0.05527295636318578,-0.0030132162980069377,0.05225974006517884,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['CPz', 'CP4', 'Cz', 'POz', 'C6']",,,,1,EEGNet
PGD,False,,,Linf,0.5,0.5177210642334306,"[0.49572959542274475, 0.4997755289077759, 0.5000416040420532, 0.4995616674423218, 0.5001271367073059, 0.5000175833702087, 0.5022814273834229, 0.49998241662979126, 0.4981956481933594, 0.4974069893360138, 0.49823835492134094, 0.4996383786201477, 0.5034623146057129, 0.5013185143470764, 0.4980524480342865, 0.49648040533065796, 0.49788302183151245, 0.5014607310295105, 0.5020480751991272, 0.5011564493179321, 0.5030041933059692, 0.5041136145591736]",40.0,0.06471513302917882,True,42,0.6631944179534912,0.0,1.0,125.49549102783203,125.25320434570312,3.7802646160125732,1.782561182975769,0.07573049515485764,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.743832933370977,,,,,-0.05527295636318578,-0.0030132162980069377,0.05225974006517884,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['CPz', 'CP4', 'Cz', 'POz', 'C6']",,,,1,EEGNet
PGD,False,,,Linf,1.0,1.0354421284668611,"[0.9914591908454895, 0.9995510578155518, 1.0000832080841064, 0.9991233348846436, 1.0002542734146118, 1.0000351667404175, 1.0045628547668457, 0.9999648332595825, 0.9963912963867188, 0.9948139786720276, 0.9964767098426819, 0.9992767572402954, 1.0069246292114258, 1.0026370286941528, 0.996104896068573, 0.9929608106613159, 0.9957660436630249, 1.002921462059021, 1.0040961503982544, 1.0023128986358643, 1.0060083866119385, 1.0082272291183472]",40.0,0.12943026605835764,True,42,0.6631944179534912,0.0,1.0,143.6859893798828,143.57057189941406,3.7802646160125732,0.5888246893882751,0.20558714866638184,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.743832933370977,,,,,-0.05527295636318578,-0.0030132162980069377,0.05225974006517884,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['CPz', 'CP4', 'Cz', 'POz', 'C6']",,,,1,EEGNet
PGD,False,,,Linf,2.0,2.0708842569337222,"[1.982918381690979, 1.9991021156311035, 2.000166416168213, 1.998246669769287, 2.0005085468292236, 2.000070333480835, 2.0091257095336914, 1.999929666519165, 1.9927825927734375, 1.9896279573440552, 1.9929534196853638, 1.9985535144805908, 2.0138492584228516, 2.0052740573883057, 1.992209792137146, 1.9859216213226318, 1.9915320873260498, 2.005842924118042, 2.008192300796509, 2.0046257972717285, 2.012016773223877, 2.0164544582366943]",40.0,0.2588605321167153,True,42,0.6631944179534912,0.0,1.0,173.84274291992188,173.63385009765625,3.7802646160125732,-1.065420389175415,0.27951714396476746,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.0,1,False,0.743832933370977,,,,,-0.05527295636318578,-0.0030132162980069377,0.05225974006517884,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['CPz', 'CP4', 'Cz', 'POz', 'C6']",,,,1,EEGNet
FGSM_LP,True,gaussian,3.0,Linf,0.25,0.2588605321167153,"[0.24786479771137238, 0.24988776445388794, 0.2500208020210266, 0.2497808337211609, 0.25006356835365295, 0.25000879168510437, 0.2511407136917114, 0.24999120831489563, 0.2490978240966797, 0.2487034946680069, 0.24911917746067047, 0.24981918931007385, 0.25173115730285645, 0.2506592571735382, 0.24902622401714325, 0.24824020266532898, 0.24894151091575623, 0.25073036551475525, 0.2510240375995636, 0.25057822465896606, 0.2515020966529846, 0.2520568072795868]",,,False,42,0.6631944179534912,0.0,1.0,34.97486877441406,34.98391342163086,0.2756304144859314,12.84514331817627,0.4959356188774109,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",1.1363636834479015e-05,1,False,0.9204898362507059,,,,,-0.05527295636318578,-0.05203514218096917,0.0032378141822166084,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'FC3', 'CP4', 'P1', 'Cz']",,,,1,EEGNet
FGSM_LP,True,gaussian,3.0,Linf,0.5,0.5177210642334306,"[0.49572959542274475, 0.4997755289077759, 0.5000416040420532, 0.4995616674423218, 0.5001271367073059, 0.5000175833702087, 0.5022814273834229, 0.49998241662979126, 0.4981956481933594, 0.4974069893360138, 0.49823835492134094, 0.4996383786201477, 0.5034623146057129, 0.5013185143470764, 0.4980524480342865, 0.49648040533065796, 0.49788302183151245, 0.5014607310295105, 0.5020480751991272, 0.5011564493179321, 0.5030041933059692, 0.5041136145591736]",,,False,42,0.6631944179534912,0.0,1.0,62.70313262939453,62.75579071044922,0.5309432744979858,7.769947528839111,0.49579471349716187,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",8.627945893143382e-06,1,False,0.9204898362507059,,,,,-0.05527295636318578,-0.05203514218096917,0.0032378141822166084,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'FC3', 'CP4', 'P1', 'Cz']",,,,1,EEGNet
